metric,value
framework_overhead_ms,3025.148600
speculative_vs_true_speedup,0.833993
speculative_vs_zero_draft_speedup,1.020823
target_verify_reduction_ms,-491.860400
framework_overhead_ms_median,3790.021000
speculative_vs_true_speedup_median,0.826572
speculative_vs_zero_draft_speedup_median,1.081251
target_verify_reduction_ms_median,1164.795000
draft_overhead_ms,5170.305200
net_time_saved_ms,-4368.064400
accepted_tokens_per_drafted_token,0.708455
accepted_tokens_per_sample,97.200000
